City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Sechura,PE,71.55,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
1,Oriximina,BR,74.53,moderate rain,-1.7656,-55.8661,Pousada Tia Amélia
9,Piacabucu,BR,76.3,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
10,Quatre Cocos,MU,73.09,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
11,Bhawanipatna,IN,82.09,scattered clouds,19.9,83.1667,Bhagirathi inn
12,Garissa,KE,78.04,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
15,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
18,Loandjili,CG,73.96,heavy intensity rain,-4.7561,11.8578,Résidence ARCHANGE
21,Bol,TD,84.36,broken clouds,13.4586,14.7147,Harrouni camp de passage
25,Shush,IR,74.05,scattered clouds,32.1942,48.2436,Mosque Zaman (AS) Cultural promised -Kanvn
31,Saint-Leu,RE,74.26,clear sky,-21.15,55.2833,La Caz Oceane
32,Nizwa,OM,83.16,few clouds,22.9333,57.5333,Orient Apartments
33,Praia,CV,70.12,clear sky,14.9215,-23.5087,LT Aparthotel
34,Hithadhoo,MV,84.76,broken clouds,-0.6,73.0833,Scoop Guest House
35,Salalah,OM,84.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
40,Tarauaca,BR,73.92,overcast clouds,-8.1614,-70.7656,Flat Temporada
42,Esmeraldas,BR,76.06,broken clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
44,Hit,IQ,74.39,clear sky,33.6416,42.8251,بيت ابو رباح
46,Arlit,NE,84.54,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
47,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
52,Port Said,EG,70.86,few clouds,31.2565,32.2841,Aracan Hotel
53,Ferkessedougou,CI,79.95,overcast clouds,9.6,-5.2,Hotel Chateau
54,Laguna,US,80.89,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
60,Oussouye,SN,72.52,broken clouds,12.485,-16.5469,Auberge du Routard
62,Mount Holly,US,72.12,broken clouds,35.2982,-81.0159,"Holiday Inn Express & Suites Charlotte Arpt-Belmont, an IHG Hotel"
63,Sao Joao Da Barra,BR,74.66,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
66,Bambous Virieux,MU,73.22,clear sky,-20.3428,57.7575,Casa Tia Villa
67,Waw,SS,79.5,overcast clouds,7.7029,27.9953,Universal Gab Hotel
68,Richards Bay,ZA,71.73,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
74,Arraial Do Cabo,BR,75.9,clear sky,-22.9661,-42.0278,Pousada Porto Praia
76,Benguela,AO,76.42,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
77,Aquin,HT,75.79,scattered clouds,18.2833,-73.4,Asheev Beach
81,Rock Sound,BS,75.61,clear sky,24.9,-76.2,Pink Corral Bay Property
83,Bandarbeyla,SO,83.17,scattered clouds,9.4942,50.8122,JABIR HOTEL
84,Namibe,AO,73.02,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
86,Yenagoa,NG,76.53,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
88,Rajbiraj,NP,78.98,few clouds,26.5333,86.75,Kolahatta
89,Alice,US,82.29,few clouds,27.7523,-98.0697,"Holiday Inn Express & Suites Alice, an IHG Hotel"
98,Sabzevar,IR,73.15,broken clouds,36.2126,57.6819,پزشکی قانونی سبزوار
99,Sao Felix Do Xingu,BR,73.92,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
100,San Andres,CO,82.42,few clouds,12.5847,-81.7006,Hotel Arena Blanca
105,Caravelas,BR,74.55,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
111,Mahebourg,MU,73.26,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
115,Saint-Philippe,RE,74.79,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
119,Lamu,KE,79.79,light rain,-2.2717,40.902,Lamu House
130,Saint-Pierre,RE,74.88,clear sky,-21.3393,55.4781,Lindsey Hôtel
